mode,tau_et,et_vmin,tc_vmin,dice_ET,dice_TC,dice_WT,n_cases,dice_mean
temperature_scale,0.5,500,250,0.7813674669367834,0.799587737672804,0.9252843094356611,251,0.8354131713484162
temperature_scale,0.55,1000,500,0.7844309214432338,0.7960128449504978,0.9251800659802437,251,0.8352079441246585
temperature_scale,0.45,500,500,0.7818203962563819,0.7974432800910701,0.9252421544850674,251,0.834835276944173
temperature_scale,0.45,1500,0,0.7781883276705851,0.8009526574484652,0.9252421544850674,251,0.8347943798680393
temperature_scale,0.5,1500,0,0.7773916800460523,0.801308016795305,0.9252843094356611,251,0.8346613354256728
temperature_scale,0.55,500,250,0.7801844445654076,0.7983194834344616,0.9251800659802437,251,0.8345613313267043
temperature_scale,0.45,1000,500,0.7805945101355853,0.7974432800910701,0.9252421544850674,251,0.8344266482372409
temperature_scale,0.55,1500,0,0.7778759278339358,0.7999593801550635,0.9251800659802437,251,0.8343384579897477
temperature_scale,0.5,500,500,0.7795700558545705,0.7979634668624968,0.9252843094356611,251,0.8342726107175761
temperature_scale,0.45,1500,250,0.7779913774398383,0.7993215749968833,0.9252421544850674,251,0.8341850356405963
temperature_scale,0.55,2000,0,0.7771267042538529,0.7999593801550635,0.9251800659802437,251,0.8340887167963866
temperature_scale,0.5,1500,250,0.777133307449889,0.799587737672804,0.9252843094356611,251,0.8340017848527846
temperature_scale,0.5,1000,0,0.7747692180719404,0.801308016795305,0.9252843094356611,251,0.8337871814343022
temperature_scale,0.55,1500,250,0.7775262439445635,0.7983194834344616,0.9251800659802437,251,0.8336752644530896
temperature_scale,0.55,750,0,0.7754669297912775,0.7999593801550635,0.9251800659802437,251,0.8335354586421949
temperature_scale,0.55,2000,250,0.7766892570917336,0.7983194834344616,0.9251800659802437,251,0.8333962688354797
temperature_scale,0.45,2000,0,0.7734918933940585,0.8009526574484652,0.9252421544850674,251,0.8332289017758637
temperature_scale,0.55,500,500,0.778275154940735,0.7960128449504978,0.9251800659802437,251,0.8331560219571589
temperature_scale,0.5,2000,0,0.7727132070944626,0.801308016795305,0.9252843094356611,251,0.8331018444418096
temperature_scale,0.5,1000,250,0.7737965466503246,0.799587737672804,0.9252843094356611,251,0.8328895312529299
temperature_scale,0.45,1500,500,0.7759074610592587,0.7974432800910701,0.9252421544850674,251,0.832864298545132
temperature_scale,0.5,1500,500,0.7753358963676761,0.7979634668624968,0.9252843094356611,251,0.8328612242219448
temperature_scale,0.55,750,250,0.7743880198469134,0.7983194834344616,0.9251800659802437,251,0.8326291897538729
temperature_scale,0.45,750,0,0.7716440175043505,0.8009526574484652,0.9252421544850674,251,0.832612943145961
temperature_scale,0.45,2000,250,0.7731792995112144,0.7993215749968833,0.9252421544850674,251,0.8325810096643883
temperature_scale,0.5,2000,250,0.7723250578414996,0.799587737672804,0.9252843094356611,251,0.8323990349833216
temperature_scale,0.55,1500,500,0.7756169543198909,0.7960128449504978,0.9251800659802437,251,0.8322699550835441
temperature_scale,0.55,2000,500,0.7753050061048724,0.7960128449504978,0.9251800659802437,251,0.8321659723452046
temperature_scale,0.45,750,250,0.7707262352944103,0.7993215749968833,0.9252421544850674,251,0.8317633215921204
temperature_scale,0.5,1000,500,0.7719991355681118,0.7979634668624968,0.9252843094356611,251,0.8317489706220899
temperature_scale,0.5,2000,500,0.7710748696493558,0.7979634668624968,0.9252843094356611,251,0.8314408819825045
temperature_scale,0.45,2000,500,0.7716277740301783,0.7974432800910701,0.9252421544850674,251,0.8314377362021053
temperature_scale,0.55,750,500,0.7724787302222408,0.7960128449504978,0.9251800659802437,251,0.8312238803843274
temperature_scale,0.5,750,0,0.7668010905911274,0.801308016795305,0.9252843094356611,251,0.8311311389406978
temperature_scale,0.45,750,500,0.7686423189138307,0.7974432800910701,0.9252421544850674,251,0.8304425844966561
temperature_scale,0.5,750,250,0.7658284191722333,0.799587737672804,0.9252843094356611,251,0.8302334887602328
temperature_scale,0.5,750,500,0.7640310080900204,0.7979634668624968,0.9252843094356611,251,0.8290929281293927
temperature_scale,0.55,1000,1000,0.7805466986433961,0.7813769038901335,0.9251800659802437,251,0.8290345561712577
temperature_scale,0.45,1000,1000,0.7768416634816993,0.7822828778869966,0.9252421544850674,251,0.8281222319512543
temperature_scale,0.45,1500,1000,0.7749618601775117,0.7822828778869966,0.9252421544850674,251,0.8274956308498586
temperature_scale,0.5,1500,1000,0.7743970000688973,0.7827920918213463,0.9252843094356611,251,0.8274911337753016
temperature_scale,0.55,1500,1000,0.7745623715624481,0.7813769038901335,0.9251800659802437,251,0.8270397804776084
temperature_scale,0.55,2000,1000,0.7742504233474294,0.7813769038901335,0.9251800659802437,251,0.826935797739269
temperature_scale,0.55,750,1000,0.7725785711623989,0.7813769038901335,0.9251800659802437,251,0.8263785136775921
temperature_scale,0.5,2000,1000,0.7701359733505769,0.7827920918213463,0.9252843094356611,251,0.8260707915358614
temperature_scale,0.45,2000,1000,0.7706821731484312,0.7822828778869966,0.9252421544850674,251,0.8260690685068317
temperature_scale,0.45,750,1000,0.7688735360004627,0.7822828778869966,0.9252421544850674,251,0.8254661894575088
temperature_scale,0.5,1000,1000,0.7682686411778189,0.7827920918213463,0.9252843094356611,251,0.8254483474782756
temperature_scale,0.5,1500,1500,0.7720836971120171,0.7789507730406416,0.9252843094356611,251,0.8254395931961066
